question,label
"Read the following passage and answer the questions:

Love, success, happiness, family and freedom----how important are these values to you? Here is one interview which explores the fundamental questions in life. Question: Could you introduce yourself first? Answer: My name is Misbah, 27 years old. I was born in a war-torn area. Right now I am a web designer. Q: What are your great memories? A: My parents used to take me to hunt birds, climb trees, and play in the fields. For me it was like a holiday because we were going to have fun all day long Those are my great memories. Q: Does your childhood mean a lot to you? A: As life was hard, I used to work to help bring money in for the family. I spent my childhood working, with responsibilities beyond my age .However, it taught me to deal with problems _ . I learnt to be independent. Q: What changes would you like to make in your life? A: If I could change something in my life, I'd change it so that my childhood could have taken place in another area. I would have loved to live with my family in freedom. Who cares whether we have much money, or whether we have a beautiful house? It doesn't matter as I can live with my family and we are safe. Q: How do you get along with your parents? A: My parents supported me until I came of age. I want to give back what I have got. That's my way. But I am working in another city. My only contact with my parents now is through the phone, but I hate using it. It filter out your emotion and leaves your voice only. My deepest feeling should be passed through sight ,hearing and touch.

Question 1: In Misbah's childhood,   _  .
Options:
A) he was free from worry
B) he liked living in the countryside
C) he was fond of getting close to nature
D) he often spent holidays with his family

Question 2: What did Misbah desire most in his childhood?
Options:
A) A colorful life
B) A beautiful house
C) Peace and freedom
D) Money for his life

Question 3: How would Misbah prefer to communicate with his parents?
Options:
A) By chatting on the Internet
B) By calling them sometimes
C) By paying weekly visits
D) By writing them letters

Question 4: If there were only one question left, what would it most probably be?
Options:
A) What was your childhood dream?
B) What is your biggest achievement ?
C) What is your parents' view of you?
D) What was your hardest experience in the war?",0
"Read the following passage and answer the questions:

John: Here's a good shop. Shall we buy mother's birthday present here? Mary: Yes, that's a good idea. Shall we go inside? Tom: No. Let's look in the window. Shall we buy her a sweater? Anne: Er, no. It'll soon be summer. Let's buy her a blouse to wear. There's a nice one in the window. John: No, she has two blouses. Let's buy a ring. Mary: Oh, no! They're diamond rings. Look at the price. The cheapest is $15. John: A real diamond ring is at least $500.They only look like diamonds. Tom: Shall we buy a table? It's only $15. Anne: It doesn't look good, just like a big box. Mum likes chairs. Tom: But they haven't any here. Mary: What about a pen? So cheap! Only $10. John: She has a lot of pens and pencils. All of them are new. Tom: Oh, look here. These flowers are beautiful. Mary: They aren't real and will never die. John: And they're the cheapest of all these things. Yes, let's buy them. Anne: All right.

Question 1: Who finds the shop to buy the present first?
Options:
A) John.
B) Anne.
C) Tom.
D) Mary.

Question 2: Who wants to buy a blouse but not a sweater?
Options:
A) John.
B) Anne.
C) Tom.
D) Mary.

Question 3: Why don't they buy the pen?
Options:
A) Because it looks so bad.
B) Because Mother has many pencils.
C) Because it's too cheap.
D) Because Mother doesn't need pens.

Question 4: How much are the flowers?
Options:
A) At least $10.
B) Less than $10.
C) About $15.
D) Only $15.

Question 5: Which of the following things are sold in the shop?
Options:
A) It sells flowers, rings, tables and sweaters.
B) It sells rings, coats, blouses and flowers.
C) It sells blouses, tables, chairs and pens.
D) It sells sweaters, real flowers, tables and rings.",0
"Read the following passage and answer the questions:

We humans love to scare ourselves. Newspapers and TV news are full of shock-horror stories about the killer flu virus but are there things we can do to cut our risk of catching it? Every year, people in Britain catch the flu virus and some of those who are already ill, or are very young, may die. It is very sad, but modern treatment means that many deaths can be avoided. Experts tell us that the world is another flu epidemic and that the latest bird-flu virus would be the most likely cause. Humans can catch the disease only after closely contacting with a sick bird. However, if someone who had normal flu was to come into contact with bird flu, this could be very dangerous. The bird flu virus could attach itself to the human flu virus, _ and then start to spread from person to person. Coughs and sneezes always have spread diseases, especially colds and flu, and they still do. If bird flu does begin to infect humans, it will spread through coughs and sneezes. If you want to stay free of flu and someone coughs or sneezes at you, what should you do? First, keep your hands away from your face and wash them and your face as soon as you can. If a cough or a sneeze spray misses your face and you accidentally touch a droplet with your hands and then touch your face, the flu or cold bug could creep into your system.

Question 1: The chances of most people catching bird flu are very small because   _  .
Options:
A) they are strong enough to resist the infection
B) only after closely contacting a sick bird can they be infected
C) bird flu does not happen very often in the world
D) only those who are ill can be infected

Question 2: If a man with common flu is infected with bird flu,   _  .
Options:
A) there must be no cure for him
B) the disease will spread among humans
C) he must feel cold
D) he is likely to die

Question 3: Which of the following statements is true according to the passage?
Options:
A) Bird flu is the most dangerous disease.
B) Normal flu can be easily changed into Bird flu.
C) We don't need to worry about flu virus.
D) The person who has normal flu and comes into contact with bird flu can easily get Bird flu.",0
"Read the following passage and answer the questions:

The Beijing government has set out to _ thousands of university graduates to work as junior officials in rural areas to both improve rural administration and ease the city's employment problems. The government plans to recruit 3,000 university graduates this year, 1,000 more than last year, to work as assistants to village heads or Party secretaries in suburban areas. People interested in jobs in Beijing's rural villages and townships can submit applications to the Beijing Municipal Personnel Bureau or online at www.Bjbys.com from February 1 through March 15. ""We hope university graduates will seize this opportunity to use their knowledge in rural villages and to start their careers,"" Sun Zhenyu, deputy director of Beijing Personnel Bureau, told Xinhua News Agency. The government has promised successful candidates a monthly salary of 2,000 yuan ( $ 250) in the first year, 2,500 yuan ($ 320) the second year and 3,000 yuan ($ 385) the third year, provided their performance is up to the required standards.Sun said. Wang Lina, who graduated from Beijing Union University last year, was one of the first graduates to find work in the city's countryside After majoring in industrial and commercial administration, Wang served as the assistant to the village head of Ertiaojie Village in suburban Besjing's Pinggu District.For one project, Wang contacted people at the BeijingAcadeny of Agricnitural Sciences and arranged for the local farmers to receive training in strawberry planting.Her efforts paid off.The village had a plentiful harvest of organic strawberries earlier this year. Nationwide, about 150,000 university graduates found employment in rural areas last year, according to figures provided by the Ministry of Education. The ministry predicts that 4.95 million students will graduate from universities across the country this year, 820,000 more than last year.About 1.4 million of them are unlikely to find jobs when they graduate. In Beijing, a record 200,000 people are expected to graduate from university this year. Less than half of them are expected to be offered jobs, according to the personnel bureau.

Question 1: We can see from the passage that  _  .
Options:
A) once you are hired as a junior official, you can get an endlessly rising salary
B) the government guarantee a gradually high salary for the successful candidates
C) working as junior officials is easy but very meaningful
D) the competition for the job as junior officials is very fierce

Question 2: From the story of Wang Lina we can learn that  _
Options:
A) the sooner you go to the countryside, the sooner you will be successful
B) local fanners can get big harvests if they team more knowledge
C) university graduates can also realize their value in rural areas
D) Wang had great difficulty in helping villagers planting organic strawberries

Question 3: Which of the following can be the best title for this passage?
Options:
A) What is the best career?
B) Graduates go to the countryside.
C) Job hunting for university graduates.
D) A good choice for university graduates.",0
"Read the following passage and answer the questions:

Why do Americans struggle with watching their weight, while the French, who consume rich food, continue to stay thin? Now a research by Cornell University suggests how life style and decisions about eating may affect weight. Researchers conclude that the French tend to stop eating when they feel full. However, Americans tend to stop when their plate is empty or their favorite TV show is over. According to Dr. Joseph Mercola, a health expert, the French see eating as an important part of their life style. They enjoy food and therefore spend a fairly long time at the table, while Americans see eating as something to be squeezed between the other daily activities. Mercola believes Americans lose the ability to sense when they are actually full. So they keep eating long after the French would have stopped. In addition, he points out that Americans drive to huge supermarkets to buy canned and frozen foods for the week. The French, instead, tend to shop daily, walking to small shops and farmers' markets where they have a choice of fresh fruits, vegetables, and eggs as well as high-quality meats for each meal. After a visit to the United States, Mireille Guiliano, author of French Women Don't Get Fat, decided to write about the importance of knowing when to stop rather than suggesting how to avoid food. Today she continues to stay slim and rarely goes to the gym. In spite of all these differences, evidence shows that recent life style changes may be affecting French eating habits. Today the rate of obesity - or extreme overweight - among adults is only 6%. However, as American fast food gains acceptance and the young reject older traditions, the obesity rate among French children has reached 17% - and is growing.

Question 1: In what way are the French different from Americans according to Dr. Joseph Mercola?
Options:
A) They go shopping at supermarkets more frequently.
B) They regard eating as a key part of their life style.
C) They squeeze eating between the other daily activities.
D) They usually eat too much canned and frozen food.

Question 2: This text is mainly about the relationship between   _  .
Options:
A) children and adults
B) Americans and the French
C) life style and obesity
D) fast food and overweight

Question 3: Where does this text probably come from?
Options:
A) A health report
B) A book review
C) A TV interview
D) A food advertisement",0
"Read the following passage and answer the questions:

New archaeological discovers suggest that trade between Europe and Asia along the Silk Road probably began in some form many countries earlier than once thought. The findings, _ with a widening range of scientific and historical research, could add a fascinating new page to the epic of the Silk Road. The latest and most surprising discovery is pieces of silk found in the hair of an Egyptian mummy from about 1000 BC, long before regular traffic on the Silk Road and at least one thousand years before silk was previously thought to be used in Egypt. Other research may extend human activity along this route back even further, perhaps a million years to the migration of human ancestors into eastern Asia. The official origin of East-West commerce along the road is usually placed in the late 2nd century BC when an agent of the Chinese Emperor Wu-di returned from a dangerous secret mission across the desert into the remote high country of Central Asia. The agent, Zhang Qian, travelled as far as Afghanistan and brought back knowledge of even more distant lands such as Persia, Syria and a place known as Lijien, perhaps Rome. Historians have called this one of the most important journeys in ancient times. His journey opened the way for what have been thought to be the first indirect contacts between the ancient world's two superpowers, China and Rome. Chinese silk, first traded to central Asian tribes for war horses and to the Parthians of old Persia in exchange for acrobats and ostrich eggs, was soon finding its way through a network of merchants to the luxury markets of Rome. But the new discoveries show that Chinese silk was apparently present in the West long before the Han emperor started organized trade over the Silk Road. The research could change thinking about the early history of world trade and provide insights into the mystery of just how and when Europe and the Mediterranean lands first became aware of the glorious culture at the other end of Eurasia.

Question 1: The silk thread found in the hair of an Egyptian mummy suggests that   _  .
Options:
A) Egyptians had probably travelled to China to buy silk
B) trade along the Silk Road began earlier than once thought
C) historical research often achieves fascinating results
D) new light can now be thrown on ancient trading practices

Question 2: Until recently most historians believed that trade along the Silk Road   _  .
Options:
A) originated in the 2nd century BC
B) extended human migration into eastern Asia
C) began a million years ago
D) primarily benefited the Egyptians

Question 3: Historians have always considered Zhang Qian's mission important because they believe   _  .
Options:
A) be brought back knowledge of Rome to the emperor
B) be discovered the Silk Road
C) be helped establish East-West trade
D) be travelled as far as Afghanistan",0
"Read the following passage and answer the questions:

A woman repeated a bit of gossip about a neighbour. Within a few days the whole neighbourhood knew the story. The neighbour was deeply hurt. Later the woman responsible for spreading the gossip learned that it was completely untrue. She was very sorry and went to a wise old man to find out what she could do to repair the harm. ""Go to the marketplace,"" he said. ""and buy a chicken, and have it killed, then on your way home, pluck its feathers and drop them one by one along the road. "" Although surprised by this advice, the woman did what she was told. The next day the wise man said, "" Now, go and collect all those feathers you dropped yesterday and bring them back to me. "" The woman followed the same road, but she was so discouraged when she found the wind had blown all the feathers away. After searching for hours, she returned with only three in her hand. "" You see, "" said the old man, ""it's easy to drop them, but it's impossible to get them back . So it is with gossip. It doesn't take much to spread a gossip, but once you do, you can never completely undo the wrong.""

Question 1: The woman was very   _   the harm she had done to her neighbour.
Options:
A) happy about
B) angry about
C) sorry for
D) excited about

Question 2: Which of the following statements is TURE?
Options:
A) The gossip didn't hurt anyone at all.
B) The wise man was not kind enough.
C) The woman found all the feathers at last.
D) The woman was given a lesson.",0
"Read the following passage and answer the questions:

Thanksgiving Day is always celebrated on the fourth Thursday of November. It is the most traditional American holiday. The first Thanksgiving Day was held in Massachusetts in 1621. After a year of great hardship, the colonist wanted to give thanks to God for their first harvest. They invited their Indian thanks. But it wasn't a regular national holiday until President Lincoln declared that the last Thursday in November would be there after Thanksgiving Day in 1863. It is a day of family reunion and it is customary to invite friends to share the meal. In some large cities, there are important football games that are played on Thanksgiving Day. For Americans, Thanksgiving Day is one of the few days of the year when the entire family gets together. Everyone is glad to see everyone else and there is a very busy exchange of greetings. The women soon disappear into the kitchen to help prepare the dinner. The men, meanwhile, settle down to watch a football game on television, or to discuss business or polities. If weather permits, some of the more athletic men go outside to play ball games with the children. Then everyone will sit down to dinner, in which traditional Thanksgiving foods such as stuffed turkey, sweet potatoes, chestnuts, and pumpkin pies are served. After dinner, people will sit around and talk.

Question 1: serves as the best title for the passage.
Options:
A) ""Thanksgiving Day""
B) ""Thank God for a Good Harvest""
C) ""Thanksgiving Foods""
D) ""Thanksgiving, a National Holiday""

Question 2: Which of the following statements about Thanksgiving Day is NOT true?
Options:
A) It falls on the same day in November every year.
B) It is the most traditional American holiday
C) It is a regular national holiday.
D) It is a day of family reunion.

Question 3: All of the following are customs associated with(...)Thanksgiving Day EXCEPT   .
Options:
A) family members usually get together on Thanksgiving Day.
B) people send greeting cards to each other.
C) in some cities, there are important football games.
D) people usually have Thanksgiving dinner served with traditional Thanksgiving foods.

Question 4: President Lincoln is mentioned because_.
Options:
A) it is President Lincoln who made Thanksgiving Day a regular national holiday
B) President Lincoln once took part in the celebration of Thanksgiving Day
C) President Lincoln introduced the Indian holiday day to the American
D) President Lincoln is the first US President.",0
"Read the following passage and answer the questions:

Digital technology -- email and smart phones especially--have vastly improved workers' ability to be productive outside of a traditional office. Even so, most white-collar work still happens in an office. One reason is that, according to findings of a new survey of office workers conducted by Wakefield Research for the IT company Citrix, most bosses are doubtful about remote working. Half of the workers say their boss doesn't accept it, and only 35 percent say it's tolerated. Skeptical bosses will likely have their doubts reinforced by the same survey, which shows that 43 percent of workers say they've watched TV or a movie while ""working"" remotely, while 35 percent have done housework,and 28 percent have cooked dinner. It is true, however, that working at home makes people much more efficient , because it allows workers to take care of annoying housework while still getting their jobs done. It's much faster, for example, to shop for groceries at a quarter to three than to stand in line during the after-work rush. The fact that such practices remain officially unaccepted reflects how far we haven't come as a society from the days when we expected every full-time worker to be supported by a full-time homemaker. More broadly the Wakefield survey suggests that employers may be missing a low-cost way to give workers something of value. Sixty-four percent of those survey participants who haven't worked remotely would rather give up some bonus in order to get even one day a week working from home. Under such circumstances, smart firms need to find ways to let their employees have enough ability to change or be changed easily to suit a different situation to manage their time efficiently.

Question 1: Why do some employers hesitate to allow remote working?
Options:
A) They are used to face-to-face communication.
B) They want to stick to their routine practice.
C) They have little trust in modem technology.
D) They fear losing control of their workers.

Question 2: What seems to be most workers' attitude toward remote working?
Options:
A) Favorable.
B) Doubtful.
C) Reserved.
D) Disapproving.

Question 3: What does the author suggest smart firms do?
Options:
A) Shorten their office hours.
B) Give employees a pay raise.
C) Adopt flexible work patterns.
D) Reduce their staff's workload.",0
"Read the following passage and answer the questions:

Father's Day has a very short history. It was started because there was a Mother's Day. And just because some Americans thought that if we had a Mother's Day, we should also have a Father's Day. Father's Day has become important in North America. And shopkeepers found it was a good way to get people to buy presents for their fathers, presents from their shops. By the way, very few countries have a Father's Day, though some have Children's Day, or a special day for boys and another for girls. More and more countries are having Mother's Day, so maybe Father's Day will also become popular before too long. Now, what do people in North America do on Father's Day? The newspapers, radios, and TV tell children what they should do-buy a Father's Day present for your father. They even tell a wife to buy a Father's Day present-not for her father but for her husband, even if he is not yet a father. And they tell grandchildren to buy a Father's Day present for their grandfathers. The important thing to remember about Father's Day is that American children can show their love to their fathers in a more open way.

Question 1: Father's Day was started just because  _  .
Options:
A) there was a Mother's Day
B) there was a Children's Day
C) people liked their fathers a lot
D) fathers were more important

Question 2: Which of the following is NOT true?
Options:
A) Many countries have a Father's Day.
B) Father's Day has a long history.
C) Father's Day has become important in North America.
D) Maybe Father's Day will become popular before too long.

Question 3: In America, people have a Father's Day to  _  .
Options:
A) go shopping with their fathers
B) help their fathers do something
C) show their love to their fathers
D) get money from their fathers

Question 4: On Father's Day, shopkeepers always want  _  .
Options:
A) people to buy as many presents as possible
B) children to buy presents only for their fathers
C) women to buy presents only for their husbands
D) grandchildren to buy a Father's Day present only for their grandfathers

Question 5: It can be learned from the article that  _  .
Options:
A) the writer is against Father's Day
B) many countries have a Father's Day
C) shopkeepers can get more money on Father's Day than usual
D) We don't need to have a Father's Day",0
