"Question","label"
"Answer the following question:

How do I configure my own SMTP server in my system?",2
Choose the correct option: Question: The purpose of the text is _ . Options: A) to make children have a memorable holiday B. to show you how to shop on the Internet C) to give you some information about Granny Look D) to introduce some goods,1
"Answer the following questions:

a) What does Ramon Rodriguez believe there is time for To win the conference
b. What does Ramon Rodriguez believe there is time for The growth and ambition of the club with a change in manager
(c) What does Ramon Rodriguez believe there is time for To hire a new coach
d. What does Ramon Rodriguez believe there is time for To get a positive response out of the team
(e) What does Ramon Rodriguez believe there is time for To find strong players
f) What does Ramon Rodriguez believe there is time for Time for getting a response out of the team
(g) What does Ramon Rodriguez believe there is time for Time for getting the team up to the top of the table",3
"Read the following passage and answer the questions:

As an experienced photojournalist in Nashville, Tennessee, I was hired by USA Today newspaper to photograph a spinal bifida corrective surgical procedure. It was to be performed on a twenty-one week old fetus in uterus at Vanderbilt University Medical Center. At that time, in 1999, twenty-one weeks in uterus was the earliest that the surgical team would consider for surgery. The worst possible outcome would be that the surgery would cause premature delivery, and no child born earlier than twenty-three weeks had survived. The tension could be felt in the operating room as the surgery began. A typical C-section cut was made to access the uterus, which was then lifted out and laid at the junction of the mother's thighs . The entire procedure would take place within the uterus, and no part of the child was to breach the surgical opening. During the procedure, the position of the fetus was adjusted by gently moving the outside of the uterus. The entire surgical procedure on the child was completed in one hour and thirteen minutes. When it was over, the surgical team breathed a sigh of relief, as did I. As a doctor asked me what speed of film I was using, out of the corner of my eye I saw the uterus shake, but no one's hands were near it. _ was shaking from within. Suddenly, an entire arm thrust out of the opening, then pulled back until just a little hand was showing. The doctor reached over and lifted the hand, which reacted and squeezed the doctor's finger. As if testing for strength, the doctor shook the tiny fist. Samuel held firm. I took the picture! Wow! It happened so fast that the nurse standing next to me asked, ""What happened?"" ""The child reached out,"" I said. ""Oh. They do that all the time,"" she responded. The surgical opening to the uterus was closed and the uterus was then put back into the mother and the C-section opening was closed. It was ten days before I knew if the picture was even in focus . To ensure no digital manipulation of images before they see them, USA Today requires that film be submitted unprocessed. When the photo editor finally phoned me he said, ""It's the most incredible picture I've ever seen.""

Question 1: What may be the best title for the passage?
Options:
A. An Amazing Moment
(B) A Pitiful Fetus
(C) An Honorable Job as a Photographer
D) An Impressive Surgeon

Question 2: In 1999, people believed that it was   _  .
Options:
(A) possible for a fetus 21 weeks born to survive
(B) likely for a fetus born 21 weeks to become abnormal
(C) right time for a fetus born 21 weeks to receive an operation
D) risky for a fetus 21 weeks in uterus to receive an operation",0
"Answer the following question:

What is the best way to deep fry chicken breasts?",2
"Answer the following question:

What is the chemical composition of coacerverates, microsperes, and liposomes?",2
"Read the following passage and answer the questions:

When my parents were alive, they weren't well off financially. Yet they helped their two older daughters time after time. My sisters paid Mom and Dad back part of the time, but when Daddy passed away, his cash journal showed debts due from several of his children. I was not among them. I seldom borrowed money and when I did, at the beginning I set a repayment plan and stuck to it. It was a matter of pride for me. When you think that I was raised in the same household with my brothers and sisters and had the same parents, it is hard to figure out why I was the only one who couldn't stand to owe them -- or anyone -- money. Maybe it's because I watched my parents struggle to help my older sisters out when they were in financial difficulties themselves. Maybe it's because of that reason, I was just too proud to depend on anyone else. These days, I am the one of those other people turn to for help when they need it. Just as I can't stand to owe other people, I can't stand to say no to anyone who presents a credible case of need. So I am what is called an""enabler"". Being an enabler is an insidious disorder. It starts simply enough when you help someone with an extraordinary expense created by an unusual event. Then when people find out you will provide aid, they ask you more and more and you -- being a nice person -- just keep giving. It's a hard cycle to break and I personally have no clue how to escape. I'm not angry. I'm not holding a grudge. I don't try to tell my children or my sisters how to run their lives because they ask me for money. Yet I would be so proud of all of them if they were to make more of an effort to handle things themselves, perhaps by doing some financial planning -- like planning not to spend money they don't have! And I don't see why they can't do this. After all, I'm not lassoing them and forcing them to take my money. I'm just not good at saying""no"". So I ask you, what can I do when so many people around me have no shame in owing others money? On the other hand, I am doing them a greatdisserviceby my""kindness"". I remember as a child how my father always said these two things,""If at first you don't succeed, try, try again,""and""I can't get stuck in the fence. I'll try to pull it down.""As an enabler, I have prevented my children from learning to keep trying instead of turning to me for help. Yes, they could change their ways and learn to get along on their own, but why would they do that? Who among us would choose to be out of a car because we can't afford to fix it when Mom will supply the money to get it fixed? Yes, I am an enabler; and I am wronging my children by enabling them to be less than self-sufficient. I have known this for a long time but I still can't say no.

Question 1: The author will feel proud when    .
Options:
A. her children make progress at school
(B) she can help her children or her sisters
C) she can pay back the money she owed
D. her children learn to fix a car with her help

Question 2: Why couldn't the author stand to owe her parents' money?
Options:
(A) She thought it would be embarrassing to seek help from the old.
(B) She wanted to show she was more successful than her sisters.
C) She didn't establish a good relationship with her parents.
(D) She couldn't bear her parents' difficult state in finance.

Question 3: What prevents the children from changing their ways and getting along on their own?
Options:
(A) Their mother's kind action.
B. Their financial state.
C) Their lack of creativity and courage.
D) Their traditional culture.

Question 4: What should the author do when others seek help from her?
Options:
A. Just refuse them by saying""no"".
(B) Try to tell them how to run their lives.
C. Remind them to pay back her money in time.
D) Try her best to provide them with necessary help.

Question 5: In which column of a newspaper can we find this passage?
Options:
(A) Finance.
(B) Education.
(C) Culture.
D. Life.",0
"Read the following passage and answer the questions:

Heritage is our legacy from the past, what we live with today, and what we pass on to future generations. Our cultural and natural heritage are both irreplaceable sources of life and inspiration. Places as unique and diverse as the wilds of East Africa's Serengeti, the Pyramids of Egypt, the Great Barrier Reef in Australia and the Baroque cathedrals of Latin America make up our world's heritage. What makes the concept of World Heritage exceptional is its universal application. World Heritage sites belong to all the peoples of the world, regardless of the territory on which they are located. The United Nations Educational, Scientific and Cultural Organization (UNESCO) seeks to encourage the identification, protection and preservation of cultural and natural heritage around the world considered to be of outstanding value to humanity. This is _ in an international treaty called the Convention Concerning the Protection of the World Cultural and Natural Heritage, adopted by UNESCO in 1972. UNESCO's World Heritage mission is to: encourage countries to sign the World Heritage Convention and to ensure the protection of their natural and cultural heritage; encourage States Parties to the Convention to nominate sites within their national territory for inclusion on the World Heritage List; encourage States Parties to establish management plans and set up reporting systems on the state of conservation of their World Heritage sites; help States Parties safeguard World Heritage properties by providing technical assistance and professional training; provide emergency assistance for World Heritage sites in immediate danger; support States Parties' public awareness-building activities for World Heritage conservation; encourage participation of the local population in the preservation of their cultural and natural heritage; encourage international cooperation in the conservation of our world's cultural and natural heritage.

Question 1: Which of the following statements about heritage is NOT true?
Options:
A. It is exceptional because of its universal application.
(B) It can be divided into two sorts: the cultural and the natural.
(C) It's the irreplaceable sources of life and inspiration.
(D) It has the characteristics of being unique and diverse.

Question 2: UNESCO encourages all the following EXCEPT   _   of cultural and natural heritage around the world.
Options:
(A) identification
(B) application
C) protection
D. conservation

Question 3: UNESCO helps the States Parties safeguard World Heritage properties by   _  .
Options:
A) building public awareness for World Heritage conservation
B) setting up reporting systems on the state of conservation of their World Heritage sites
C) providing emergency assistance for World Heritage sites in immediate danger
(D) providing technical assistance and professional training

Question 4: From the passage, we can know that  _  .
Options:
A. UNESCO signed the World Heritage Convention in 1972
B. World Heritage sites belong to the world and are of great value to humanity
C) participation of the local population usually makes the conservation work easy
(D) UNESCO is an organization aimed at protecting the World Heritage",0
"Answer the following question:

What is an effective way to teach a lesson for those who are slow to understand?",2
"Choose the correct option: Question: When coming to save Donald and Dean Bernhard,Kristy never thought that she _ . Options: A) could have any help from others B. would be successful in saving both of them (C) might be killed (D) would be tested in dangerous situations",1
