question,label
"Choose the correct option: Question: Tick the \textbf{incorrect} assertion regarding plain Rabin, i.e., Rabin without any redundancy. Options: A) The Rabin Key Recovery Problem relies on the discrete logarithm problem. B) Plain Rabin suffers from a chosen ciphertext key recovery attack. C) The decryption of plain Rabin is ambiguous. D) The Rabin Decryption Problem is equivalent to the factoring problem.",1
Choose the correct option: Question: $\mathrm{GF}(2^k)$ is represented by the set of\dots Options: A) polynomials of degree at most $k-1$ with binary coefficients. B) polynomials of degree at most $k-1$ with coefficients in $\\mathbb{Z}_k$. C) polynomials of degree at most $2^k$ with coefficients in $\\mathbb{Z}$. D) polynomials of degree at most $2$ with coefficients in $\\mathbb{Z}_k$.,1
Choose the correct option: Question: Bluetooth pairing v2.0 is based on\dots Options: A) bilinar mappings over elliptic curves. B) a short authenticated string. C) an ephemeral secret PIN code. D) a secure token.,1
Choose the correct option: Question: What is the worst case complexity of listing files in a directory? The file system implements directories as hash-tables. Options: A) $O(1)$ B) $O(number of direntries in the directory)$ C) $O(size of the file system)$ D) $O(number of direntries in the file system)$ E) $O(log(number of direntries in the directory))$,1
"Choose the correct option: Question: Consider the exhaustive search of a uniformly distributed key in a set of size $N$. Think of the possible strategies and their complexities. Which of the following is \textbf{not} possible (We assume that memory access is constant.) Options: A) Find the key with precomputation: $0$, memory: $O(1)$, time: $O(N)$. B) Find the key with precomputation: $O(N)$, memory: $O(N)$, time: $O(1)$. C) Find the key with precomputation: $O(N)$, memory: $O(N^{2/3})$, time: $O(N^{2/3})$. D) Find the key with precomputation: $0$, memory: $O(N)$, time: $O(1)$.",1
"Choose the correct option: Question: Tick the \textbf{true} statement. Options: A) If $x \\in \\mathbb{Z}_n^*$ has an order of $m$, then $x^i \\equiv x^{i \\pmod{m}} \\pmod{n} $ for all $i\\in \\mathbb{Z}$. B) For all $x \\in \\mathbb{Z}_n$, we have $x^{\\varphi(n)}\\equiv 1 \\pmod{n}$. C) For all $n \\geq 2$, $\\mathbb{Z}_n^*$ has order of $n-1$. D) For all $n \\geq 2$ and all $x \\in \\mathbb{Z}_n$, $x$ is invertible if and only if $x$ divides $n$.",1
"Choose the correct option: Question: When using linear regression, how do you help prevent numerical instabilities? (One or multiple answers) Options: A) reduce learning rate B) add a regularization term C) remove degenerate features D) add more features",1
"Choose the correct option: Question: In ElGamal signature scheme, if we avoid checking that $0 \leq r < p$ then \ldots Options: A) \\ldots a universal forgery attack is possible. B) \\ldots an existential forgery attack is avoided. C) \\ldots we can recover the secret key. D) \\ldots we need to put a stamp on the message.",1
"Choose the correct option: Question: In User-Based Collaborative Filtering, which of the following is correct, assuming that all the ratings are positive? Options: A) Pearson Correlation Coefficient and Cosine Similarity have different value range, but return the same similarity ranking for the users B) If the ratings of two users have both variance equal to 0, then their Cosine Similarity is maximized C) Pearson Correlation Coefficient and Cosine Similarity have the same value range, but can return different similarity ranking for the users D) If the variance of the ratings of one of the users is 0, then their Cosine Similarity is not computable",1
"Choose the correct option: Question: Consider a linear regression problem with $N$ samples $\left\{\left(\boldsymbol{x}_{n}, y_{n}\right)\right\}_{n=1}^{N}$, where each input $\boldsymbol{x}_{n}$ is a $D$-dimensional vector $\{-1,+1\}^{D}$, and all output values are $y_{i} \in \mathbb{R}$. Which of the following statements is correct? Options: A) Linear regression always ""works"" very well for $N \\ll D$ B) A linear regressor works very well if the data is linearly separable. C) Linear regression always ""works"" very well for $D \\ll N$ D) None of the above.",1
"Choose the correct option: Question: Let $n$ be an integer such that $n\geq 2$ and let $A \in \R^{n imes n}$, and $xv \in \R^n$, consider the function $f(xv) = xv^ op A xv$ defined over $\R^n$. Which of the following is the gradient of the function $f$? Options: A) $2 xv^\top A$ B) $2Axv$ C) $A^\top xv + Axv$ D) $2A^\top xv$",1
Choose the correct option: Question: (Robustness) The $l_{1}$ loss is less sensitive to outliers than $l_{2}$. Options: A) True B) False,1
"Choose the correct option: Question: Let $f: \mathbb{Z}_{m n} \rightarrow \mathbb{Z}_m \times \mathbb{Z}_n$ be defined by $f (x) = (x \bmod m,x \bmod n)$. Then $f$ is a ring isomorphism between $\mathbb{Z}_{180}$ and: Options: A) $\\mathbb{Z}_{2} \\times \\mathbb{Z}_{90}$. B) $\\mathbb{Z}_{4} \\times \\mathbb{Z}_{45}$. C) $\\mathbb{Z}_{10} \\times \\mathbb{Z}_{18}$. D) $\\mathbb{Z}_{6} \\times \\mathbb{Z}_{30}$.",1
"Choose the correct option: Question: You are using a 3-layer fully-connected neural, and you are using \textbf{$f(x) = 2x$ as your activation function} . Your input data has components in [0, 1]. \textbf{You initialize your weights using Kaiming (He) initialization}, and set all the bias terms to 0. You start optimizing using SGD. What will likely happen? Options: A) The gradient is 0 so nothing happens B) t converge"", C) ,",1
