question,label
"Read the following passage and answer the questions:

Any diet on which you eat fewer calories than you need to get through the day -- like an 800-calorie-per-day diet can be dangerous. Diets that don't allow any fat also can be bad for you. Everyone needs a certain amount of fat in their diet -- up to 30% of total calories -- so no one should eat a completely fat-free diet. Don't have diets that restrict certain food groups, either. A diet that requires you to say no to bread or pasta or allows you to eat only fruit is unhealthy. You won't get the vitamins and minerals you need. And although you may lose weight, you'll probably gain it back as soon as you start eating normally again. Some people start dieting because they think all the problems in their lives are because of weight. Others have an area of their lives that they can't control, like an alcoholic parent, so they focus on something they can control -- their exercise and food intake. People who diet may get lots of praise from friends and family when they start losing pounds, which makes them feel good. But eventually a person reaches a weight level -- and doesn't lose as much weight as before because the body is trying to keep a healthy weight, so they aren't any happier. Some people may find it hard to control their eating, so they stick with _ for a little while, but then eat tons of food. Feeling guilty about the binge, they use laxatives . Eating too little to maintain a healthy weight or eating only to throw up the calories are both eating disorders, which are harmful to a person's health.

Question 1: Which is not the result of restricting certain food groups?
Options:
A) lose weight for a short period
B) unhealthy
C) short of nutrition
D) hungry

Question 2: The reasons why some people start and keep dieting DON'T include  _  .
Options:
A) They think their trouble comes from their weight.
B) They have an alcoholic parent.
C) Other people's praise when they lose some weight.
D) There is something they can't control except food intake.

Question 3: Which of the following statements is true?
Options:
A) A person needs about 800 calories each day.
B) A person who doesn't eat bread is unhealthy.
C) An improper diet may cause eating disorder.
D) Fat takes up the most part of calories inside body.",0
"Read the following passage and answer the questions:

The following safety risks may result in serious injury or death to the user of the MINI Cooper S: *This product contains small parts that are for adult assembly only. Keep small children away when assembling. Remove all protective materials before assembly. Be sure to remove all packaging materials and parts from underneath the car body. *Battery posts contain lead known to the state of California to cause cancer and reproductive harm. Never open the battery. *Body parts such as hands, legs, hair and clothing can get caught in moving parts. Never place a body part near a moving part or wear loose clothing while using the vehicle. Always wear shoes when using the vehicle. *Using the vehicle near streets, motor vehicles, drop-offs such as steps, water (swimming pools) or other bodies of water, hills, wet areas, in alleys, at night or in the dark could result in an unexpected accident. Instead, use the vehicle on the highway. Always use the vehicle in a safe, secure environment. *Using the vehicle in unsafe conditions such as snow, rain, loose dirt, mud, or sand may result in unexpected action, for example tip over. *Using the vehicle in an unsafe manner. Examples include but are not limited to: Pulling the vehicle with another vehicle or similar device Allowing more than two riders Pushing the user from the back Traveling at an unsafe speed *Always use common sense and safe practices when using the vehicle. *Store the vehicle indoors or cover it to protect it from weather. Water will damage the motor, electric system, and battery.

Question 1: When assembling, you should   _  .
Options:
A) open the battery on the spot
B) ignore the packaging materials
C) keep small children off the spot
D) take away all protective materials

Question 2: According to the text, it is safer to   _  .
Options:
A) have at least four passengers
B) push the user from behind at the start
C) drive on the highway instead of on hills
D) wear loose clothes while using the vehicle

Question 3: Where can you probably find the text?
Options:
A) An official report.
B) A popular magazine.
C) A physics textbook.
D) A product handbook.",0
"Read the following passage and answer the questions:

In Europe, people hold the fork in the left hand and the knife in the right throughout the meal, a system that is generally agreed to be more efficient than the American zigzag method. Americans hold both the fork and the knife in their right hands throughout the meal, so they continually change their forks to the left hand when they have to cut their meat. It seems to be funny for the Europeans to see Americans busy changing their dinner sets, making a lot of noises. A few explanations for this American style are as follows: (1) Americans are practical and efficient. Since most of us are right-handed, it is reasonable to keep our working tools at all times in the right hand that can use them most efficiently. (2) Americans, the master of the New World are rebels .They use the zigzag method to break the rules in the Old World and in this way they are thumbing their nose at Mother England. Americans are a restless kind. They do not like to sit in one spot for very long when dining. (3) Forced to do so, they respond by ""playing"" with the silver. Whatever the reason for the practice, it is now certainly as American as apple pie. Europeans recognize this and are quick to attack it as evidence of American innocence of form. Arguments against the zigzag method rest not only on grounds of efficiency but also on those of tradition. In Old World dining, the knife is held in the right hand continually because it can serve as an instant defense against the uninvited intruders .However, such alertness is out of place in the New World, as every American believes that this is the home of the brave. Americans _ their silverware, perhaps, to show that they are not afraid and that one of them holding a fork is worth any number of them holding blades .

Question 1: Americans use   _   to hold their fork to pick up the salad.
Options:
A) the right hand
B) the left hand
C) both hands
D) either of the two hands

Question 2: As the masters of the New World, Americans use a different cutting method from that in the Old World to   _  .
Options:
A) show their independence of Mother England
B) show their disrespect to Mother England
C) add a new tradition to those in Mother England
D) show off their creativeness to Mother England

Question 3: In the last sentence, the word ""juggle"" probably means   _  .
Options:
A) hold
B) play with
C) pick up
D) lay down

Question 4: Also in the last sentence, the two ""them"" refer to   _  .
Options:
A) Americans
B) Europeans and Americans separately
C) Americans and Europeans separately
D) Europeans

Question 5: Which of the following statements is NOT true?
Options:
A) European people hold the fork in the left hand and the knife in the right hand.
B) The zigzag eating method is related to American characteristics.
C) The zigzag eating method has become an American feature.
D) European people will use the American method because of its efficiency.",0
"Read the following passage and answer the questions:

Do you want to visit Disney World? However, will you worry about your pet if you go to Disney World? To meet the needs of these people, a pet hotel has been built near the Disney World Resort in Florida. The new pet hotel is named Best Friends Pet Care Resort and it is mainly open to dogs and cats. It has an area of 4,645m2. About 270 dogs and 30 cats can be kept there at the same time. Besides dogs and cats, it can also provide services for birds, pigs and rabbits. However, it can't take care of snakes and turtles now. Best Friend Pet Care Resort is a very expensive hotel. There are several types of dog rooms, such as rooms with air-conditioners and VIP rooms. There is even a ""private dog park"". Owners can have a high-quality vacation with their dogs there. The cats are kept in the ""Kitty City"". The ""Kitty City"" is very comfortable and clean. Workers there will clean it once a day. Apart from having good equipment, Best Friends Pet Care Resort also have other plans to meet the psychological needs of pets. Workers play music to the pets, walk with them, play with them and even read stories to them before they go to bed. ""We aim to make sure that pets will have a fun vacation here, just like their owners at Disney World,"" said the manager of the resort.

Question 1: How many kinds of animals can be kept in Best Friends Pet Care Resort?
Options:
A) Three.
B) Five.
C) Six.
D) Seven.

Question 2: About Best Friends Pet Care Resort, which of the following is NOT true?
Options:
A) It covers about 4,645 m2.
B) It can keep more than 300 pets.
C) Owners don't need to pay much for keeping pets there.
D) There is a ""private dog park"" in the resort as well.

Question 3: How often do the workers clean the ""Kitty City""?
Options:
A) Once a day.
B) Twice a day.
C) Once a week.
D) Twice a week.

Question 4: Workers from the pet care resort read stories to pets in order to_.
Options:
A) provide pets with good equipment
B) meet the psychological needs of pets
C) teach pets to learn more knowledge
D) make pets' owners satisfied with their service

Question 5: What's the best title for the passage?
Options:
A) Relationship between Owners and Pets
B) Popular Pets All Over the World
C) How to Take Care of your Pets
D) Pet Care Resort in Florida",0
"Read the following passage and answer the questions:

Mails, games, music, news, chat rooms and shopping! The Interent is part of our life today. It's easy to get onto the Internet. The only thing we need to do is to use a modem which is used for connecting a computer to a telephone line. The Internet is changing and growing all the time. More and more people have computers and use the Internet. Using the Internet means surfing the World Wide Web(That's the ""WWW"" you always hear about). The Internet has a large number of websites . They are the places where you go to get information and do things. Where do these websites come from? They are made by web designers. What happens when you click on a word or a picture? You are sent to another page. It's all because of the web designers. Web designers do a lot of work by using a computer programming language. Is web design all about computer programming? No, it's about making something new. Web designers must imagine a lot when they are making a website. It must look good and be fun to use. A big part of web design is art. They choose the best pictures and colors to make the website look good. They also write the things that you see on the website. An important part of their job is to share ideas with the website manager about how to design the website well.

Question 1: More and more people are using the Internet because   _  .
Options:
A) it's easy and useful
B) it's changing and growing
C) websites are designed quite well
D) people can design a computer

Question 2: Which of the following is WRONG?
Options:
A) ""WWW"" means ""World Wide Web"".
B) There're a few websites on the web.
C) The Internet has changed people's lives.
D) We can do things like shopping on the Internet.

Question 3: It's possible for us to change websites just by a click because of   _  .
Options:
A) the modem's help
B) the telephone line's help
C) the web designers' work
D) the website manager's work",0
"Read the following passage and answer the questions:

It's summer movie time again.And heroes are ready to try their strength and magic on the silver screen.Check out our list of four films that look most promising to young audience.

Question 1: According to the passage, if you want to see a film whose leading actor is Jackie Chan, you will see the film on    _   .
Options:
A) June 4
B) June 16
C) June 30
D) July 7

Question 2: In Spider Man 2, Aunt May's trouble is caused by   _   .
Options:
A) Peter Parker
B) Mary Jane
C) Dr.Otto Octavius
D) Spider-Man

Question 3: Which of the following films is set in ancient Britain?
Options:
A) Harry Potter and the Prisoner of Azkaban.
B) Around the world in 80 Days.
C) Spider-Man 2
D) King Arthur",0
"Read the following passage and answer the questions:

During her junior year of high school, Diane Ray's teacher handed her a worksheet and instructed the 17-year-old to map out her future financial life. Ray pretended to buy a car, rent an apartment, and apply for a credit card. Then, she and her classmates played the ""stock market game"", investing the hypothetical earnings from their hypothetical jobs in the market in the disastrous fall of 2008. ""Our pretend investments crashed,"" Ray says, still frightened. ""We got to know how it felt to lose money."" That pain of earning and losing money is a feeling that public schools increasingly want to teach. Forty states now offer some type of financial instruction at the high-school level, teaching students how to balance checkbooks and buy stock in math and social-studies classes. Though it's too early to measure the full influence of the Great Recession , the interest in personal-finance classes has risen since 2007 when bank failures started to occur regularly. Now, many states including Missouri, Utah, and Tennessee require teenagers to take financial classes to graduate from high school. School districts such as Chicago are encouraging money-management classes for kids as young as primary school, and about 300 colleges or universities now offer online personal-finance classes for incoming students. ""These classes really say, 'This is how you live independently,' "" says Ted Beck, president of National Endowment for Financial Education. Rather than teach investment methods or financial skills, these courses offer a back-to-the-basics approach to handling money: Don't spend what you don't have. Put part of your monthly salary into a savings account, and invest in the stock market for the long-term rather than short-term gains. For Ray, this means dividing her earnings from her part-time job at a fast-food restaurant into separate envelopes for paying bills, spending and saving. ""Money is so hard to make but so easy to spend,"" she says one weekday after school. ""That is the big takeaway."" Teaching kids about the value of cash certainly is one of the programs' goals, but teachers also want students to think hard about their finances long term. It's easy for teenagers to get annoyed about gas prices because many of them drive cars. But the hard part is urging them to put off the instant satisfaction of buying a new T-shirt or an iPod. ""Investing and retirement aren't things teenagers are thinking about. For them, the future is this weekend,"" says Gayle Whitefield, a business and marketing teacher at Uth's Riverton High School. That's a big goal for these classes: preventing kids from making the same financial missteps their parents did when it comes to saving, spending, and debt. Though the personal savings rate has increased up to 4. 2 percent, that's still a far distance from 1982, when Americans saved 11. 2 percent of their incomes. ""It's hard for schools to reach strict money-management skills when teenagers go home and watch their parents increase credit-card debt. It's like telling your kids not to smoke and then lighting up a cigarette in front of them,"" Beck says. Even with these challenges, students such as Ray say learning about money in school is worthwhile. After Ray finished her financial class, she opened up a savings account at her local bank and started to think more about how she and her family would pay for college. ""She just has a better understanding of money and how it affects the world,"" says her mother, Darleen-and that's sown to the details of how money is spent from daily expenses to various taxes. All of this talk of money can make Ray worry, she says, but luckily, she feels prepared to face it.

Question 1: According to the passage, taking money-management courses will  _  .
Options:
A) better students' learning methods
B) prevent students going into debt
C) help students get accepted by colleges
D) make students become very wealthy

Question 2: After completing the financial class, Diane Ray is likely to  _  .
Options:
A) pay off all her debts.
B) handle her money better
C) find a job in a bank.
D) manage the family income

Question 3: The passage is mainly about  _  .
Options:
A) ways to teach students to earn money
B) how Diane Ray learns to value money
C) the push to teach personal finance in school
D) how students choose a proper financial class",0
"Read the following passage and answer the questions:

What would it take to persuade you to exercise? A desire to lose weight or improve your figure? To keep you away from diseases? To live to a healthy old age? You'd think any of those reasons would be enough to get Americans exercising. Yet a vast majority of Americans have thus far failed to swallow the ""exercise pill"". Now a research by psychologists strongly suggests it's time to think of current well-being and happiness as motivators for exercise instead of future health, weight loss and body image. Dr. Segar, one of the researchers, believes that immediate rewards are more motivating than distant ones. ""People who say they exercise for the quality of life exercise more over the course of a year than those who say they value exercise for its health benefits."" He said. ' Other studies have shown that what keeps people moving depends on age, sex and life circumstances. For those of college age, physical attractiveness typically heads the list of reasons to begin exercising, although what keeps them going seems to be the stress relief that a regular exercise program provides. The elderly, on the other hand, may get started because of health concerns. But often what keeps them exercising are the friendships and sense of community that may otherwise be missing from their lives. Improving daily well-being is the most influential factor for the women. Men indicate they are motivated by more distant health benefits, but this may be because men feel less comfortable discussing their mental health needs. ""Exercise should be encouraged but the emphasis on weight loss, disease prevention and healthy aging should be reduced."" Dr. Segar concluded. ""Exercise can make people feel more energetic, less stressed and, yes, happier.""

Question 1: According to the passage, which of the following persons may exercise more in a year?
Options:
A) Jane, who decides to lose weight.
B) David, who exercises for future health.
C) Mary, who enjoys exercising with her son..
D) Mark, who is suffering from a serious illness.

Question 2: What is the author mainly arguing in the passage?
Options:
A) Immediate rewards of exercise should be emphasized.
B) Distant benefits should be the motivators for exercise.
C) Feeling relaxed is more important than future health.
D) Men and women take exercise for different purposes.",0
"Read the following passage and answer the questions:

Global warming may or may not be the great environmental crisis of the 21st century, but--regardless of whether it is or isn't -- we won't do much about it. We will argue over it and may even, as a nation, make some fairly solemn-sounding commitments to avoid it. But the more dramatic and meaningful these commitments seem, the less likely they are to be observed. Al Gore calls global warming an ""inconvenient truth,"" as if merely recognizing it could put us on a path to a solution. But the real truth is that we don't know enough to relieve global warming, and--without major technological breakthroughs--we can't do much about it. From 2003 to 2050, the world's population is estimated to grow from 6.4 billion to 9.1 billion, a 42% increase. If energy use per person and technology remain the same, total energy use and greenhouse gas emissions (mainly, CO2) will be 42% higher in 2050. But that's too low, because societies that grow richer use more energy. We need economic growth unless we condemn the world's poor people to their present poverty and freeze everyone else's living standards. With modest economic growth, energy use and greenhouse emissions more than double by 2050. No government will adopt rigid restrictions on economic growth and personal freedom (limits on electricity usage, driving and travel) that might cut back global warming. Still, politicians want to show they're ""doing something."" Consider the Kyoto Protocol . It allowed countries that joined to punish those that didn't. But it hasn't reduced CO2 emissions (up about 25% since 1990), and many signatories didn't adopt tough enough policies to hit their 2008-2012 targets. The practical conclusion is that if global warming is a potential disaster, the only solution is new technology. Only an aggressive research and development program might find ways of breaking our dependence on fossil fuels or dealing with it. The trouble with the global warming debate is that it has become a moral problem when it's really an engineering one. The inconvenient truth is that if we don't solve the engineering problem, we're helpless.

Question 1: According to the author's understanding, what is A1 Gore's view on global warming?
Options:
A) It is a reality both people and politicians are unaware of.
B) It is a phenomenon that causes us many inconveniences.
C) It is a problem that can be solved once it is recognized.
D) It is an area we actually have little knowledge about.

Question 2: Greenhouse emissions will more than double by 2050 because of   _  .
Options:
A) economic growth
B) wasteful use of energy
C) the widening gap between the rich and poor
D) the rapid advances of science and technology

Question 3: The author believes that, since the signing of the Kyoto Protocol,   _  .
Options:
A) politicians have started to do something to better the situation
B) few nations have adopted real tough measures to limit energy use
C) reductions in energy consumption have greatly cut back global warming
D) international cooperation has contributed to solving environmental problems

Question 4: What is the message the author intends to convey?
Options:
A) Global warming is more of a moral issue than a practical one.
B) The ultimate solution to global warming lies in new technology.
C) The debate over global warming will lead to technological breakthroughs.
D) People have to give up certain material comforts to stop global warming.",0
"Read the following passage and answer the questions:

Many songs, poems, and books have been written on love's strong effect on people. The state of being in love has even been compared to being sick or mad. A study by Professor Semir Zeki of University College London has found that love does affect people's brains by making them feel great. Zeki studied young men and women who had recently fallen in love. He found that, when they were looking at photos of their loved ones, there was heightened activity in four areas of their brains. These areas deal with emotions, and one of them, in particular, is known to respond to drugs that cause feelings of great joy and excitement. Interestingly, the study also found a lack of activity in two other areas of the brain when the volunteers looked at their lovers' photographs. One of these areas is linked to feelings of sadness, while the other is often active in people suffering from depression. It seems love really can be _ . The state of being in love, according to some scientists, may actually be good for your health. Although scientists know that being in love can make a person feel great, the exact influence of love on a person's health is harder to determine. However, scientists say that people do need love in order to live healthy lives. According to Dr. Thomas Lewis, people need to be in relationships because that is how we are designed. He says the brain can only maintain the overall stability of a person's immune system, bodily rhythms, and heart if it receives input from outside the body in the form of emotional connections with others. Professor Antonio Damasio has a similar view. He says that love enriches a person's imagination and creativity, and makes a person's body work better. He also believes that love can even improve the body's ability to fight against disease. Damasio's wise words of advice are "" Choose love and you will live longer.""

Question 1: The main idea of this passage is   _  .
Options:
A) love can really cause people active
B) love has effect on songs and books
C) love is linked with emotion
D) love is what we need

Question 2: From the passage we know  _  .
Options:
A) People write songs, poems and books to say love is the sweetest thing
B) nobody but Professor Semir Zeki has found love does affect people's brains
C) being in love sometimes may make someone act as if he/ she were mad
D) love causes heightened activity in all areas of a person's brains

Question 3: Which of the following statements is not true?
Options:
A) Some scientists have the idea that love does good to people.
B) It is possible for scientists to decide how much influence love can give people.
C) People are born to be in need of getting on touch with each other.
D) A person's health depends on partly on emotional connections with others.",0
