question,label
"Choose the correct option: Question: Let $H$ be a hash function. Collision resistance means that \dots Options: A) given $y$, it is hard to find $x$ such that $H(x)=y$ B) given $x$, it is hard to find $y$ such that $H(x)=y$ C) it is hard to find $x_1$ and $x_2\\neq x_1$ such that $H(x_1)=H(x_2)$ D) given $x_1$, it is hard to find $x_2\\neq x_1$ such that $H(x_1)=H(x_2)$",1
Choose the correct option: Question: For the number of times the apriori algorithm and the FPgrowth algorithm for association rule mining are scanning the transaction database the following is true Options: A) fpgrowth has always strictly fewer scans than apriori B) fpgrowth and apriori can have the same number of scans C) apriori cannot have fewer scans than fpgrowth D) all three above statements are false,1
"Choose the correct option: Question: After the join step, the number of k+1-itemsets Options: A) is equal to the number of frequent k-itemsets B) can be equal, lower or higher than the number of frequent k-itemsets C) is always higher than the number of frequent k-itemsets D) is always lower than the number of frequent k-itemsets",1
"Choose the correct option: Question: Select the \emph{correct} statement. The Plain RSA Signature scheme Options: A) has modulus $N=p^2$. B) has public modulus $e$ to be selected so that $\\text{gcd} (e, \\varphi(N)) > 1$. C) allows us to pick a fixed public key exponent like $e=3$ or $e=2^{16}+1$. D) has a secret modulus $d$ to be selected so that $e+d = 0 \\pmod{\\varphi(N)}$.",1
"Choose the correct option: Question: A MAC forgery is\dots Options: A) a valid pair $(X,c)$ produced by the adversary. B) a valid pair $(X,c)$ produced by the MAC issuer. C) a valid pair $(X,c)$ produced by the MAC verifier. D) a key recovery attack.",1
"Choose the correct option: Question: Tick the \textbf{false} assertion. In Differential Cryptanalysis, the corresponding differential circuit of \ldots Options: A) \\ldots a linear circuit ($Y=M\\times X$) is $\\Delta X=a\\Rightarrow \\Delta Y=^tM\\times a$ B) \\ldots a duplicate gate ($X=Y=Z$) is $\\Delta X=a\\Rightarrow \\Delta Y = \\Delta Z = a$ C) \\ldots a XOR gate ($X\\oplus Y = Z$) is $(\\Delta X=a,\\ \\Delta Y=b)\\Rightarrow \\Delta Z = a\\oplus b$ D) \\ldots a XOR to constant gate ($Y=X\\oplus K$) is $\\Delta X = a \\Rightarrow \\Delta Y = a$",1
Choose the correct option: Question: Tick the \textbf{incorrect} assertion. Options: A) Solving the discrete logarithm in the group $\\mathbb{Z}_N$ might help breaking the Rabin cryptosystem. B) Solving the factoring problem might help breaking the Rabin cryptosystem. C) Finding square roots in $\\mathbb{Z}_N$ might help breaking the Rabin cryptosystem. D) To decrypt properly a Rabin ciphertext we usually assume that some redundancy was added to the plaintext.,1
"Choose the correct option: Question: A word embedding for given corpus Options: A) depends only on the dimension d B) depends on the dimension d and number of iterations in gradient descent C) depends on the dimension d, number of iterations and chosen negative samples D) there are further factors on which it depends E)",1
"Choose the correct option: Question: The elements of $\mathbf{Z}_{14}^*$ are Options: A) $\\{ 0, 1, 3, 5, 9, 11, 13\\}$ B) $\\{ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13\\}$ C) $\\{ 1, 3, 5, 9, 11, 13\\}$ D) $\\{ 1, 2, 3, 9, 11 \\}$",1
"Choose the correct option: Question: When constructing a word embedding, negative samples are: Options: A) Word - context word combinations that are not occurring in the document collection B) Context words that are not part of the vocabulary of the document collection C) All less frequent words that do not occur in the context of a given word D) Only words that never appear as context word",1
