question,label
"Choose the correct option: Question: Suppose that an item in a leaf node N exists in every path. Which one is correct? Options: A) N co-occurs with its prefix in every transaction. B) For every node P that is a parent of N in the fp tree, confidence(P->N) = 1 C) N’s minimum possible support is equal to the number of paths. D) The item N exists in every candidate set.",1
"Work through the following:

a) What should not to be used to help a doctor or nursing home get permission for a pill or procedure Public guardianship program
b) What should not to be used to help a doctor or nursing home get permission for a pill or procedure The money paid for attorney and guardianships
c) What should not to be used to help a doctor or nursing home get permission for a pill or procedure Power of attorneys and guardianships
d) What should not to be used to help a doctor or nursing home get permission for a pill or procedure A person person transferring or losing rights
e) How are power of attorneys and guardianships supposed to be used To help a family manage their mother or help a doctor or nursing home get permission for a pill
f) How are power of attorneys and guardianships supposed to be used The are used to help a family ""manage"" their mother or help a doctor or nursing home get permission for a pill or procedure they feel is in the best interest of a patient
g) How are power of attorneys and guardianships supposed to be used Serving the person transferring the rights and manage their permission for doctor's treatments
h) How are power of attorneys and guardianships supposed to be used Powers of attorney and guardianships are used to serve only the person transferring or losing rights
i) How are power of attorneys and guardianships supposed to be used Only for the person transferring or losing rights",3
"Respond to each question:

a. What are some examples of unusual creativity at its best?
b. How do you create social media creative content?
c. What is the most ridiculous “allergy” or “dietary requirements” a customer has claimed to have while ordering food?
d. If the Avengers Hulk fought King Kong, who would win?
e. Are online schools worth it?",3
Did The Time Machine by H.G. Wells popularize the idea of time travel?,2
"Attempt all the questions:

(a) What form of stored energy fuels a fire Chemical energy
(b) What form of stored energy fuels a fire Heat energy
(c) What form of stored energy fuels a fire Fire energy
(d) What form of stored energy fuels a fire Wood",3
"Read the following passage and answer the questions:

There are many things we need to know that we do not learn at school. For example, if we want to use our money wisely, we need to shop carefully. We need to know how to compare the prices of things in different shops. We need to be able to compare the quality of different brands . We need to know how to make a choice when we shop. Knowing how to make such choices is a ""life skill"", and we need these skills if we are to live useful and happy lives. Some of these choices are small. For example, will I take an apple for lunch or a pear? Will I go to school by bus or on foot? Will I wear the red T-shirt or the blue one to the movies? Other choices are more important. For example, will I eat healthy food for lunch or will eat junk food because it is tastier? Will I work hard in all my classes or will I only work hard in the classes I enjoy? We make choices like this every day. We have to realize that the choices we make can affect the rest of our lives. Just as importantly, our choices can also affect other people. The next time you decide to waste time in class, play a joke on someone or talk loudly at the movies, think about this: who else does your choice affect?

Question 1: The main idea of this passage is   _  .
Options:
A) it's important to make the right choices
B) it's important to know how to compare prices
C) it's important to know how to shop carefully
D) we learn everything we need to know at school

Question 2: Which of the following statement is TRUE?
Options:
A) We need to go to different shops before we buy something.
B) The prices in different shops must be different.
C) If we shop carefully, we can use our money wisely.
D) We don't need to compare the quality of different brands.

Question 3: We need ""life skills""  _
Options:
A) to know how to shop carefully
B) to compare brands and prices
C) to live useful and happy lives
D) to learn things at school

Question 4: Which of the following choices is more important than the others?   _  .
Options:
A) Which fruit to take for lunch
B) Which subjects to work hard at
C) Which T-shirt to wear to the movies
D) How to get to school

Question 5: From the passage we know that your choice affect  _
Options:
A) you and your parents
B) you and other people
C) lots of other people
D) everybody except you",0
Choose the correct option: Question: MD5 is Options: A) a secure block cipher B) a broken block cipher C) a secure hash function D) a broken hash function,1
Choose the correct option: Question: An HMM model would not be an appropriate approach to identify Options: A) Named Entities B) Part-of-Speech tags C) Concepts D) Word n-grams,1
What are N95 masks normally used for?,2
"Provide answers for each of the following:

(a) What is on-page SEO?
(b) What is the reason for the 4 seasons?
(c) Why whenever I get in the shower my girlfriend want to join?
(d) Would Edward Snowden have faced charges for treason if he had not gone into hiding?
(e) Why are there still statues of confederate generals in the US? Weren’t they supposed to be taken down after the war?",3
"Solve:

A. What is a list of skills that are amazing if you learn them?
B. What do you wear, if anything, under your spandex, yoga pants, leggings, and/or tights?
C. What are your late growth spurt stories?",3
"a. Which one would win, Spinosaurus or Deinosuchus?
b. What are the best GRE coaching centres in Delhi, especially for maths?
c. How can I transfer ownership?",3
Choose the correct option: Question: Which of the following properties is part of the RDF Schema Language? Options: A) Description B) Type C) Predicate D) Domain,1
"Read the following passage and answer the questions:

You can see Pizza Hut every some blocks, so it must be a very big business. Indeed it is. But believe it or not, the business was started in 1958 by two college students with a _ of 600 dollars. The Carney brothers were trying to make some money .so that they could pay their way through college. They borrowed the money from their mother and sold pizza in a small house in their neighborhood. That's how they got the name of the business. On the first day of business, they gave away pizza to draw customers . Year after year, their business grows and now they often give free meals and work chances to those in need.

Question 1: Pizza Hut has been set up for about   _   years.
Options:
A) 21
B) 31
C) 56
D) 100

Question 2: The word ""loan"" here in the story means   _  .
Options:
A) money the brothers borrowed from others
B) money the brothers lent to others
C) something bought for nothing
D) something given away",0
Choose the correct option: Question: How does LSI querying work? Options: A) The query vector is treated as an additional term; then cosine similarity is computed B) The query vector is transformed by Matrix S; then cosine similarity is computed C) The query vector is treated as an additional document; then cosine similarity is computed D) The query vector is multiplied with an orthonormal matrix; then cosine similarity is computed,1
Why do people love IPA beer?,2
How strong is Gol D. Roger?,2
Which is the best abroad educational consultancy for studying in Germany?,2
"Read the following passage and answer the questions:

This fourth of July I moved into a new house with my wife, Nicole. Nicole and I met through a series of _ that would be unlikely without some unbelievable force causing them to happen. The day Nicole and I met, we talked about the Yankees. In the restaurant where we sat, the first game between the Yanks and Tampa Bay was being shown on television. Nicole was happy I was a baseball fan, and she told me that was an important reason when she considered dating me. ""My dad wouldn't like me dating anyone who isn't,"" she said. Nicole's dad, Ira, used to be a coach for the Yankees. Many years ago, a colleague of his was leaving and packing up his office. The only thing left unpacked was a photo on the wall. It was a picture of Sparky Lyle, a famous baseball player. Sparky had signed the photo on the bottom. ""You're not taking that?"" Ira asked. ""You want it?"" his colleague offered. ""Sure!"" Ira said. He jumped at the chance to have a signed photo from a great player who had helped the team win two World Series. Ira told me the story after the movers had gone. He then said to me, ""Adam, when I first learned who was dating my daughter, that photo came into my mind,"" he said. ""But by now, I know for sure you're meant to have it."" He then presented me with a box. I tore it open. Inside was the signed photo of Sparky Lyle which I had lost years ago. ""To Adam, Best Wishes, Sparky Lyle"". It was picked up by Nicole's dad years before I'd even met her. The perfect gift -- a sign only making me believe what I already knew ... I was meant for Nicole and her family all along.

Question 1: A big reason why Nicole agreed to be Adam's girlfriend was that   _  .
Options:
A) he was able
B) he was a baseball fan
C) he got a new house
D) they had much in common

Question 2: Ira got the photo of Sparky Lyle from   _  .
Options:
A) Sparky Lyle
B) Nicole
C) his colleague
D) Adam

Question 3: We can infer from the text that   _  .
Options:
A) Adam did not like the gift
B) Nicole found the lost picture
C) Adam and Nicole will love each other forever
D) the picture of Sparky Lyle was first owned by Adam",0
"What is the simplest way to start a Ketogenic diet? What are the basic principles, and how effective can it be? I am a 33-year-old female, my current weight is 200 lbs and I am 5'2"". I’m quite overweight for my height.",2
"Choose the correct option: Question: Given a matrix $\Xm$ of shape $D imes N$ with a singular value decomposition (SVD), $X=USV^ op$, suppose $\Xm$ has rank $K$ and $\Am=\Xm\Xm^ op$. Which one of the following statements is extbf{false}? Options: A) The eigenvalues of A are the singular values of X B) A is positive semi-definite, i.e all eigenvalues of A are non-negative C) The eigendecomposition of A is also a singular value decomposition (SVD) of A D) A vector $v$ that can be expressed as a linear combination of the last $D-K$ columns of $U$, i.e $x=\\sum_{i=K+1}^{D} w_{i}u_{i}$ (where $u_{i}$ is the $i$-th column of $U$\n\t\t), lies in the null space of $X^\top$",1
"Attempt all the questions:

a) Where are there no big rivers that may have eroded and deposited this material Central Illinois
b) Where are there no big rivers that may have eroded and deposited this material Grain silo
c) Where are there no big rivers that may have eroded and deposited this material Southern Illinois
d) Where are there no big rivers that may have eroded and deposited this material Farm field",3
"a) On what day did Atta and Omari board a 6:00 A.M. flight from Portland to Boston's Logan International Airport Tuesday, September 11, 2001
b) On what day did Atta and Omari board a 6:00 A.M. flight from Portland to Boston's Logan International Airport September 11, 2001
c) On what day did Atta and Omari board a 6:00 A.M. flight from Portland to Boston's Logan International Airport The day after September 11
d) On what day did Atta and Omari board a 6:00 A.M. flight from Portland to Boston's Logan International Airport September 11's eve
e) On what day did Atta and Omari board a 6:00 A.M. flight from Portland to Boston's Logan International Airport September 11
f) On what day did Atta and Omari board a 6:00 A.M. flight from Portland to Boston's Logan International Airport The 11th of September
g) On what day did Atta and Omari board a 6:00 A.M. flight from Portland to Boston's Logan International Airport Second September week",3
"Read the following passage and answer the questions:

Mr. White looks out of his window. There is a boy at the other side of the street. The boy takes some bread out of a bag and begins eating it.There is a very thin dog in the street, too. The boy says to it, ""I'll give you some bread."" The dog is hungry and goes to the boy, but he does not give it any bread. He kicks the dog. It runs away, and the boy laughs. Then Mr. White comes out of his house and says to the boy. ""I'll give you a shilling .""The boy is happy and says ""Yes.""""Come here,"" Mr. White says. The boy goes to him, but Mr. White does not give him a shilling. He hits him with a stick .The boy cries and says, ""Why do you hit me? I do not ask you for any money."" ""No,"" Mr. White says, ""and the dog does not ask you for any bread, but you kick it.""

Question 1: Where is Mr. White at first?
Options:
A) In the room.
B) In the street.
C) In front of the house.
D) Close to the boy.

Question 2: Why does the dog go to the boy? Because   _  .
Options:
A) it wants to eat
B) the boy asks it to do so
C) the boy is the dog's owner
D) the boy is friendly to it

Question 3: Mr. White tells the boy to come up to him, because he wants to   _  .
Options:
A) give him a shilling
B) give him a good lesson
C) give him some more bread
D) help the boy

Question 4: What kind of man do you think Mr. White is? He is a   _  .
Options:
A) cruel
B) sympathetic
C) friendly
D) Polite",0
"A) Would darkness fall before Gifford's arrival at the church No
B) Would darkness fall before Gifford's arrival at the church Yes
C) Did Gifford need help to get to the church No
D) Did Gifford need help to get to the church Yes
E) Why darkness set in towards the end of Gifford's walk Afternoon
F) Why darkness set in towards the end of Gifford's walk Because he went out late on Sunday afternoon
G) Why darkness set in towards the end of Gifford's walk Sunset happened early that day
H) When did Gifford take the well-remembered fields path In the Evening
I) When did Gifford take the well-remembered fields path Late next Sunday afternoon
J) When did Gifford take the well-remembered fields path About Darkness fall",3
"Read the following passage and answer the questions:

Magic is believed to have begun with the Egyptians, in 1700 BC. A magician named Dedi of Dedsnefu was reported to have performed for the pharaoh, or the king. He was also known to have entertained the slaves who built the pyramids. The ""Cups and Balls"" trick which he was particularly good at is still performed by magicians all over the world today. The ancient Greeks and Romans were also fascinated by the idea of magic. Actually, one of their main interests was the art of deception . This explains why at that time the priests even built magic devices into their temples. These devices made it possible for doors to open by themselves and wine to flow magically out of statues' mouths. This was done mainly to convince people that the priests were powerful. Magic, however, was not well accepted before the 1800s. Magicians were thought of as freaks and were only allowed to perform in a circus . It was in the 19th century that the magician Robert Houdin came along and changed people's views and attitudes about magic. It was also because of Robert Houdin that many magicians were able to add Dr. or MD to their names. Today magicians try hard to find new ways to show their practiced skills. Magic is now entertainment for families all over the world.

Question 1: What would be the best title for the passage?
Options:
A) Magical Tricks
B) The History of Magic
C) Magic as Entertainment
D) A Great Magician

Question 2: In ancient Greece, what did the priests do to show people they had unusual power?
Options:
A) They performed magical tricks to entertain people.
B) They made the statues in the temples drink wine as they wished.
C) They treated the people with wine flowing down from statues' mouths.
D) They built magic devices in the temples to make doors open by themselves.

Question 3: What did people think of magic before 1800?
Options:
A) Magic should be used only in temples.
B) Magic could only be performed in a circus.
C) Magic was performed by freaks and doctors.
D) Magic was the major daily activity for the pharaohs.

Question 4: Which of the following statements is true?
Options:
A) Magic began about 3,700 years ago.
B) Dedi of Dedsnefu performed magic for kings only.
C) Robert Houdin was the first magician to perform magic.
D) The ""Cups and Balls"" trick has been performed for about 1,700 years.",0
Is chicken in dumplings considered a type of chowder?,2
"What are the best wireless earphones under Rs 5,000?",2
What are the features of the Lenovo X1 Yoga laptop?,2
