Question,label
"Read the following passage and answer the questions:

Volunteer at Shelter - North Toronto Cat Rescue---Bayview/Hwy 7 Do you like animals? Come and volunteer at our cat shelter. North Toronto Cat Rescue is a no-cage, no-kill cat shelter. We are a volunteer organization, funded totally by donation, and are a licensed Canadian charity. We are looking for volunteers who can join us once a week for a 3 month period (at least). The work is not wonderful but it is very rewarding. Mainly, we feed, clean, and scoop litter. Of course we also spend quality time with our cats. We have 2 shifts per day, 7 days per week: Mornings are 9am-1pm. Evenings are 5-7pm or 6-8pm. Please note that any new volunteer who wishes to work evening shift must be able to work 4 morning shifts on a team before moving to an evening shift. This is required in order to gain the ability to work more independently, as required during evening shifts. Students must be at least 16 years old. Adults are also welcome. If you do not have your own personal transportation, please check the public transportation from your area to our location at Bayview/Hwy 7 area before responding to this ad.

Question 1: Where is the ad most likely to appear?
Options:
A. In the local newspaper
B. On the Internet
C) On TV
D. In a magazine

Question 2: Which of the following volunteers can work evening shift?
Options:
A. A college student who can work for half a year period.
B. A college student who lives near the shelter.
C) A worker who has worked five morning shifts at the shelter.
(D) A car owner who will work there for the first time.

Question 3: How many hours will a new volunteer work at least for the shelter?
Options:
A. 14
(B) 32
(C) 48
D. 24

Question 4: What can we infer about the work at the shelter?
Options:
A) Boring
(B) Tiring
C) Dirty
(D) Challenging",0
Choose the correct option: Question: Snow City is _ . Options: A) just a small city in Singapore B. a place where people can go surfing (C) Singapore's first indoor snow center D) a place where the weather is cold,1
"Read the following passage and answer the questions:

What is ""walk to School?"" Now we are working on a programme of ""Walk to School"". We would like as many parents and children as possible to take part, even if in a small way. Children who walk to and from school along with their parents can learn essential road safety and life skills. You can take part by... #Walking to and from school with your child every day. #Walking for one or two days during the week. #Encouraging others to walk, if you already do. Walking is great! #Walking is great exercise! A walk is good for your body and can keep you fit. #You won't have to waste time looking for a parking site . #It's pollution free. #It's a good chance to talk to your children and to meet other parents, too. Enjoying walking to school! Here is some advice to help you and your child enjoy walking to school. #Plan a safe route together. #Teach children what a kerb is and what it means. #Encourage your child to help you choose the safest places to cross the road. #Look at and discuss the things you see on your way - especially road signs and what they mean. Walk to school! Thousands of parents and children take part, could you? Please go to www.walktoschool. org. uk for more information.

Question 1: By walking to and from school, children can learn   _  .
Options:
A. driving skills
(B) running skills
C. road safety and life skills
D. knowledge about science

Question 2: What is the first thing to do if you want to enjoy your walking to school?
Options:
(A) Plan a safe route with your children.
B. Learn what a kerb is and its meaning.
C. Choose the safest places to cross the road.
D) Find road signs and know their meanings.

Question 3: According to the writer, you can learn more about ""Walk to School"" by   _  .
Options:
A. reading a newspaper
B. making a phone call
C. going to the Internet
D) having a traffic lesson",0
"a) Answer the following question:

Why does the UK want the Scilly Islands? So remote off the coast of Britain.
b) Answer the following question:

Heard lot of gurus say go deep or go inside. Where should I go? What is go inside?
c) Answer the following question:

When will liberals realize that the reason Trump is so successful is because he represents everything liberals hate?
d) Answer the following question:

Why don't elite soldiers and Navy SEALs have physiques like Dwayne Johnson or Vin Diesel?
e) Answer the following question:

Can you write something that will make me feel the true size of infinity?",3
"These are separate questions, answer each:

(a) Answer the following question:

How do people who eat only once or twice a day manage to not feel hungry between meals?
(b) Answer the following question:

Why are Democrats afraid of Christians?
(c) Answer the following question:

Is my microwave catching fire and breaking a plate indicative that alternative theories of physics, such as espoused by flat Earth proponents concerning gravity and other physical phenomenon, deserve further investigation? (Pictures in comments)
(d) Answer the following question:

You are having a big argument with your spouse. Your spouse grabs the family shotgun, points it at you and threatens to shoot you. What would you do?
(e) Answer the following question:

Why is SRK the biggest superstar in India?",3
"Answer multiple independent questions:

a. Answer the following question:

I have a theory that Gamma-ray bursts are really planets setting off imploded cylindrical uranium, gun type nuclear devices and gamma ray lazing. Does anyone have any comments?
b. Answer the following question:

Why would anyone need a gun with more than 10 rounds for concealed carry?
c. Answer the following question:

What is the best Bollywood song for caller tune?
d. Answer the following question:

Can army personnel join IB and RAW or not?
e. Answer the following question:

What piece of evidence do we have that reproduction of humans on Earth started with two people?",3
"Answer the following question:

What would a child of Thor and Wonder Woman be like?",2
"Read the following passage and answer the questions:

The right to vote is one of the most fundamental rights of any democracy. Yet, for too long, too many of our fellow citizens were denied that right simply because of the color of their skin. Fifty years ago this week, President Lyndon Johnson signed a law to change that. The Voting Rights Act broke down legal barriers that stood between millions of African Americans and their constitutional right to cast ballot . It was, and still is, one of the greatest victories in our country's struggle for civil rights. But it didn't happen overnight. Countless men and women marched and organized, sat in and stood up, for our most basic rights. For this, they were called agitators and un-American; they were jailed and beaten. Some were even killed. But in the end, they reaffirmed the idea at the very heart of America: that people who love this country can change it. Our country is a better place because of all those heroes did for us. But as one of those heroes, Congressman John Lewis, reminded us in Selma this past March, ""There's still work to be done."" Fifty years after the Voting Rights Act, there are still too many barriers to vote, and too many people trying to erect new ones. We've seen laws that roll back early voting, force people to jump through hoops to cast a ballot or lead to legitimate voters being improperly purged from the rolls. Over the years, we have seen provisions specifically designed to make it harder for some of our fellow citizens to vote. In a democracy like ours, with a history like ours, that's a disgrace. That's why, as we celebrate the 50th Anniversary of the Voting Rights Act, I'm calling on Congress to pass new legislation to make sure every American has equal access to the polls. It's why I support the organizers getting folks registered in their communities. And it's why, no matter what party you support, my message to every American is simple: get out there and vote--not just every four years, but every chance you get, because your elected officials will only heed your voice if you make your voice heard. The promise that all of us are created equal is written into our founding documents but it's up to us to make that promise real. Together, let's do what Americans have always done: Let's keep marching forward, keep perfecting our union, and keep building a better country for our kids. [From Obama Weekly Address Aug 8th , 2015]

Question 1: Many Americans were denied the right to vote simply because   _  .
Options:
A) they were unwilling to go out and vote
(B) they were agitators and un-American
(C) too many people tried to erect new barriers
D. the color of their skin was different

Question 2: What message does President Barack Obama want to convey in this speech
Options:
A. The President underlined that all people are created equal.
(B) The President celebrated the 50th Anniversary of the Voting Rights Act.
(C) The President reaffirmed the commitment to protecting the right to vote.
D) The President called on everyone to seize every chance to elect officials.",0
"Read the following passage and answer the questions:

Where do you think people will live in the future? Can you predict people will work and live in the sea? But how will people go to work then? By submarine! Some scientists believe that some day submarines will be as many as today's cars. A famous French driver says, "" One day, man will work on the ocean floor as they do on the street!"" If people want to live in the sea, they have to solve a lot of problems first. Some of these problems, similar to those of living on the moon, are lack of oxygen and weightlessness . Many questions are hard to answer. For example, what will happen to our bodies if we live in the sea for a very long time? Scientists are looking for answers. Maybe in 50 years man will be able to live in the sea, away from the crowded and noisy cities on land. Man will find it fun and interesting to live in the sea. And life in the sea is more comfortable. Don't you think so?

Question 1: Maybe people in the future will   _   to work on the ocean floor.
Options:
(A) drive a car
B) take a bus
C) take a submarine
D. swim

Question 2: People have to   _   first before living in the sea.
Options:
A) build houses
B. learn to swim
C) learn to drive the submarine
D. solve some problems

Question 3: What problem will people have if they live in the sea?
Options:
(A) They will have difficulty in breathing.
B. They will become quite short.
C) They will feel cold.
D) They will feel tired.

Question 4: The writer thinks living in the sea is   _   than living on land.
Options:
A) more comfortable
(B) less comfortable
(C) easier
D. more crowded

Question 5: Which is NOT true according to the passage?
Options:
(A) There are also some problems for people to solve if they want to live on the moon.
B) The sea is noisy and crowded for man to live in.
C. Some of the problems are very hard to solve.
D) Some scientists believe submarines will be popular in the future.",0
"Answer the following question:

Is the Frankfinn Institute of Air Hostess Training for a cabin crew certification useful for interviews?",2
