question,label
What is sprint planning?,2
Has David Fincher won an Oscar for the best director?,2
Is there something about Palestinian culture that makes them unable to let go of the past in order to achieve peace?,2
How do you know if you see a satellite?,2
"Alexandria Ocasio-Cortez said ""Going by track record, I’d feel safer in a bathroom with a trans woman than a powerful male executive any day of the week."" What do you think about this?",2
Will the government shutdown be permanent?,2
What kinds of tests are performed in aviation class 1 and 2?,2
ECB departing head Draghi insists that Germany and the Netherlands simply must spend more in the struggling EZ. What are the chances?,2
Which router is better between TP-Link Archer C20 and D-Link DIR-819?,2
How can I crack the SBI clerk 2021?,2
What are the differences between a wireless and a wired connection?,2
"If in the flash, eobard thawne was the cause of Barry becoming the flash so how does he become the flash if at first, Barry grew up with his parents and the flash never existed so how does eobard know or the flash exist?",2
"What is the chemical composition of coacerverates, microsperes, and liposomes?",2
Why do scams want you to buy Google gift cards or stream gifts card and not Vanilla Visa gift card?,2
What are some UX basics that every software technology entrepreneur must know?,2
Will Victor Wembanyama be passed the torch as the face of the NBA like MJ did with Lebron when he retired?,2
"Does the Israeli government pay settlers? If so, how much money?",2
What was the strangest fast food order you've seen?,2
"If buying a new, high end road bike and you can only choose one, do you go with electronic shifting or disc brakes?",2
The Flu Vaccine.,2
How many orbeez the magazine of the MAC-10 can hold?,2
How has being raised by extremely strict parents affected you as an adult?,2
Which is the best UberEATS clone in 2020?,2
Is the response to Ponniyin Selvan II movie a slipper shot given by the audience to the artificial hype created on Mani Ratnam?,2
"If a submarine hit a seamount, in what ways could it be damaged that would require it to surface or return to shore?",2
How do I know which kinematic equation to use?,2
"Will Disney buy Viacom, thus owning Nickelodeon, MTV, and Paramount?",2
How do you know dinosaurs actually existed just other than fossils?,2
What is it like to be in a mental hospital for depression?,2
Can you describe a funny moment from boot camp?,2
Do you use your smartphone without any tempered glass or screen protector?,2
What are good master courses for data science in india?,2
An industry manufactures lamps whose average lifespan is 800 hours with a standard deviation of 40 hours. Is it true that the lifespan differs from the average 800 hours if a sample of 30 lamps only have a 788 hour lifespan?,2
How often is Lisa smarter than Bart on The Simpson’s (TV show)?,2
Which is your favourite World Test Championship knock?,2
How did you end up in the San Francisco Bay Area? What's your story?,2
Does Shopify have dropshipping?,2
What are the essential steps for starting a successful YouTube channel and gaining subscribers in the United States?,2
Is there a movie in which Kermit the Frog is evil?,2
Could Waif have been Jaqen H'ghar in disguise using the Waif identity to train Arya? Do the novels give any more insight into Waif?,2
Is there is any chance to grow? I am 16 and am almost 5.4. Can I still I have a growth spurt?,2
Why is the BJP set to cross 300+ seats in UP according to India Today Axis My India?,2
Did Saudi Arabia and the UAE sign deals with Iran because they hope such deals will protect them from the fallout of a military strike on nuclear facilities? Are American and Israeli commentators correct that such assurances are dangerously naïve?,2
How impactful is Brendon McCullum on the England cricket team as a coach?,2
"Why does 40 degree heat not cause travel problems in countries like Spain, but is forecasted to cause major problems in the UK?",2
"When Bahadur Shah Zafar was sent in jail in 1858, did the Indian Sepoy try to set him free? How?",2
When did Sunday shopping start in Canada?,2
What was trench warfare like in World War I?,2
What good smartphone apps/PC software can I use to improve myself at Texas hold'em no-limit? I already found many books and I'd like to practice.,2
"If an atheist doesn't believe in God, do they also not believe in Satan?",2
How can we find stocks for swing trading and positional trading?,2
Does any species exist which can’t thrive in captivity?,2
What is the relationship between Karan Johar and Shah Rukh Khan?,2
How make money with affiliate marketing?,2
"Which do you prefer, dubbed movies or subtitled movies?",2
How do I use a microSD card for a mini camera?,2
How do I get rid of lower back pain?,2
What hiking gear should I never buy?,2
"Are there any solids, ionic or covalent, that are more soluble in pure H2O than they are in a strong acid or strong alkali aqueous solution?",2
What happens if a top-ranked candidate for the Indian Administrative Service (IAS) instead chooses the Indian Revenue Service (IRS)? Why would anyone choose the IRS over the IAS?,2
Will an Australian style mandatory voting system work in the USA?,2
My friend stole a Steam card and it wasn't scanned at the till. Is that why it's not working? It says invalid code.,2
