question,label
"Which AC will be best for my 160 sq feet room having 10 feet hight, 2 windows for 2 people? I) a 1 ton inverter Whirlpool AC ii) a 1.5 ton Haier non inverter AC.",2
"How could Iraq, widely considered as the cradle of civilization, come to this present state of crisis?",2
How strong is Gol D. Roger?,2
How important is it to have a pot filler in your kitchen?,2
Why are there whiteboard interviews in tech?,2
"Which is better, the Lenovo Legion 5 Pro or the Acer Predator Helios 300 (2021) and why?",2
What's the most ridiculous thing a coworker told on you to your boss for?,2
"What do you think of the Canadian Prime Minister Justin Trudeau condemning the U.S. Capitol riot ""incited"" by Trump?",2
What is it like being a user experience research contractor at Google?,2
Who are some of the greatest geniuses in physics from MIT?,2
"Have evolutionary biologists calculated the mathematical probabilities behind any particular type of protein evolving, or even the simplest tRNAs?",2
Does someone who cyberbullies need to have access to autistic people?,2
What are the distinctive things that can surprise international students coming to study in India?,2
Are all akatsuki members in Naruto kage or jonin level ninja?,2
How is data transmitted wirelessly?,2
Why do people love IPA beer?,2
What would happen if there was only one isotope of each element? Would humanity survive?,2
"What is the formula to find the TSA, CSA and volume of cuboid?",2
"What is the simplest way to start a Ketogenic diet? What are the basic principles, and how effective can it be? I am a 33-year-old female, my current weight is 200 lbs and I am 5'2"". I’m quite overweight for my height.",2
"How does the department Central Water Commission compare to Indian Railways in terms of growth, payscale, transfers, and work life in IES?",2
How much commission do loan officers make?,2
How simple is bricklaying compared to other building trades?,2
How many man out there enjoy getting a pedicure and having their toenails painted?,2
What is the equation of the cubic polynomial that has roots -4 and 2i?,2
What are the best mobile phones under realme brand?,2
What subject should be focused on to do mechanical engineering?,2
Hypothetical question for doctors. What would happen if you discover to a patient that his blood is golden in color?,2
What is the difference between EBGP and IBGP?,2
What device did Professor X create to help him locate mutants?,2
Why don't small civil jets use high bypass turbofans?,2
"Which subject is more profitable for a job in India, a B.Sc (agriculture) or a B.Sc (horticulture)?",2
Which is the best position to sit in for studying?,2
Do judges typically know who the dishonest or bad attorneys are?,2
