question,label
"Respond separately to each question:

(a) At AIIMS, what is the fee structure per annum?
(b) Aren’t you upset seeing a tattoo all over Jungkook’s arm?
(c) How can I disable security tags from Walmart?",3
"a) What questions have many Americans wondered One
b) What questions have many Americans wondered Is mass murders right?
c) What questions have many Americans wondered Why do they hate us?
d) What questions have many Americans wondered What can we do to stop these attacks?
e) What questions have many Americans wondered Can the government be overthrown?
f) What questions have many Americans wondered Two
g) What questions have many Americans wondered ""Why do they hate us?"" and ""What can we do to stop these attacks?""
h) Who asks What can we do to stop these attack Some Americans
i) Who asks What can we do to stop these attack Westerners
j) Who asks What can we do to stop these attack American president
k) Who asks What can we do to stop these attack Sayyid Qutb
l) Who asks What can we do to stop these attack Congressmen
m) Who asks What can we do to stop these attack Jahiliyya
n) Who asks What can we do to stop these attack American people
o) Who asks What can we do to stop these attack Armenians
p) Who asks What can we do to stop these attack Muslims
q) Who asks What can we do to stop these attack The Egyptian writer
r) Who asks What can we do to stop these attack Bin Laden",3
"Answer all:

a) Are people buried in the cemetary No
b) Are people buried in the cemetary Yes
c) Are people buried in the cemetary There is no cemetary in the story",3
"a. What is a good Hanuman Mantra for removing bad luck or black magic?
b. How have recent events such as Qanon and Antifa affected public opinion of The Washington Post's reporting?
c. What's it like being a Slider, a person whose energy effects electronic equipment by making it shut down, malfunction or go haywire?
d. What did you think of Donald Trump before he became President?",3
"Respond to each question:

(a) What is your favorite sci-fi book series, and why?
(b) What puzzles you most about humans?
(c) What is your biggest fear in your hostel life?
(d) What will happen if humans make all mosquitoes extinct?
(e) Was the space shuttle program good, or should NASA have chosen something else?",3
"Work through the following:

a) At what time did the hijackers gain entry to the cockpit 8:41
b) At what time did the hijackers gain entry to the cockpit 8:44
c) At what time did the hijackers gain entry to the cockpit 8:38
d) At what time did the hijackers gain entry to the cockpit Right after plane took off
e) At what time did the hijackers gain entry to the cockpit A little after 8:38 and before 8:41",3
"A. What are berthing facilities like on an Arleigh Burke-class destroyer?
B. What was Thomas Edison's educational background?
C. Having at 62, I have no pension. I haven’t payed enough in for old age pension and I am alone. What will I do? I work a few hours, have no savings, and live week to week. I live in Britain.",3
"Answer multiple independent questions:

A. Why are ENFPs always so popular?
B. How do people who eat only once or twice a day manage to not feel hungry between meals?
C. Did you ever think that if you could convince 1 million people to give you only 1 miserable dollar you would become a millionaire?
D. Should we be disrespectful to former presidents if we disagree with them politically? US District Judge Moxila Upadhyaya referred to Donald Trump as “Mr. Trump” and not “ Mr. President”.",3
"Work through the following:

a) What should not to be used to help a doctor or nursing home get permission for a pill or procedure Public guardianship program
b) What should not to be used to help a doctor or nursing home get permission for a pill or procedure The money paid for attorney and guardianships
c) What should not to be used to help a doctor or nursing home get permission for a pill or procedure Power of attorneys and guardianships
d) What should not to be used to help a doctor or nursing home get permission for a pill or procedure A person person transferring or losing rights
e) How are power of attorneys and guardianships supposed to be used To help a family manage their mother or help a doctor or nursing home get permission for a pill
f) How are power of attorneys and guardianships supposed to be used The are used to help a family ""manage"" their mother or help a doctor or nursing home get permission for a pill or procedure they feel is in the best interest of a patient
g) How are power of attorneys and guardianships supposed to be used Serving the person transferring the rights and manage their permission for doctor's treatments
h) How are power of attorneys and guardianships supposed to be used Powers of attorney and guardianships are used to serve only the person transferring or losing rights
i) How are power of attorneys and guardianships supposed to be used Only for the person transferring or losing rights",3
"Do the following:

A. What is it like to have a good/best friend of the opposite gender?
B. Alexandria Ocasio-Cortez said ""Going by track record, I’d feel safer in a bathroom with a trans woman than a powerful male executive any day of the week."" What do you think about this?
C. Why do some people like to stay in an abusive relationship?
D. What is the difference between Angular and AngularJS?
E. If you tell a taxi or Uber driver to just drive, where will they go?",3
"Respond separately to each question:

(a) What is the Agni Prime missile?
(b) Why does my chinchillas eye turn white to regular? No injuries or discharge and has full sight?
(c) How do I combine Word documents into a PDF?
(d) What high protein Indian vegetarian food sources are available for people that go to the gym and want to bulk up while also losing fat?
(e) Why does Modi celebrate Deepavali every year with the Indian Army, even though India is a secular country, and he does not celebrate other religious festivals?",3
"a) Where did Mary look for Max and how far did she have to go to find him She never found max
b) Where did Mary look for Max and how far did she have to go to find him She looked all over and found him not far away
c) Where did Mary look for Max and how far did she have to go to find him She looked in all of their favorite spots, and she did not find him very far away",3
"A) Why is there so little trash on the streets of Vancouver, British Columbia, relative to any other city, such as San Francisco?
B) Why do so many students in India study engineering? There seems to be a significantly larger portion of engineering students in India than in the US. Is the perception of engineering different? If so, why?
C) How many rap rhyme schemes are there?
D) Why don't people do their homework and study it out to realize Obama is a communist?",3
"Answer all:

a) Why is density important It is a force that inter plays with gravity
b) Why is density important It holds shape
c) Why is density important When particles are packed together more tightly, matter is more dense and differences in density of matter explain many phenomena
d) Why is density important It explains many phenomena
e) Why is density important The concept of density combines what we know about an objects mass and volume
f) Why is density important It holds things together
g) Why is density important It teaches things about nature
h) Why is density important It's a physical property of matter",3
"A) Why is Gov. Kristi Noem South Dakota suing the Biden administration over fireworks at Mt. Rushmore as the agency in charge says the Sioux don't want it, it starts fires, environmentally negative, COVID19 and in general inappropriate?
B) How would you rate the following actresses in terms of beauty and elegance and not on their acting skills: Alia Bhatt, Yami Gautam, Shraddha Kapoor, Disha Patani, Kriti Sanon, Tapsee Pannu, Jacqueline Fernandes and Parineeti Chopra?
C) What is the best way for preparing for GATE CSE?
D) Is Alfred Pennyworth a skilled fighter?",3
"A. Thanks to a grant, which shelter will now be able to add a second full-time attorney to its staff and contract with Texas Wesleyan University for pro bono and student services The Women's Haven of Tarrant County
B. Thanks to a grant, which shelter will now be able to add a second full-time attorney to its staff and contract with Texas Wesleyan University for pro bono and student services Tarrant county shelters
C. Thanks to a grant, which shelter will now be able to add a second full-time attorney to its staff and contract with Texas Wesleyan University for pro bono and student services Female's Safe House of Haven County
D. What will the Women's Haven be able to add with its grant money Add a second full-time attorney to its staff and contract with the law school clinic at Texas Wesleyan University for pro bono and student services
E. What will the Women's Haven be able to add with its grant money More food
F. What will the Women's Haven be able to add with its grant money Add more room in the shelters
G. What will the Women's Haven be able to add with its grant money A second full time attorney
H. What will the Women's Haven be able to add with its grant money More legal help",3
"Answer multiple independent questions:

A. Why did Melinda Gates say choosing to divorce Bill was her 'lowest moment?
B. Can I get a seat in VIT Vellore for an integrated MSc in biotechnology if I get 90% in my boards?
C. If the Avengers Hulk fought King Kong, who would win?",3
"Attempt all the questions:

a) Where are there no big rivers that may have eroded and deposited this material Central Illinois
b) Where are there no big rivers that may have eroded and deposited this material Grain silo
c) Where are there no big rivers that may have eroded and deposited this material Southern Illinois
d) Where are there no big rivers that may have eroded and deposited this material Farm field",3
"Please answer the following:

A. Just like blood and bone marrow is it possible to get insulin from another human why do we get it from animals?
B. What are the differences between a wireless and a wired connection?
C. Which processor has been used in the new Tecno Spark 7P smartphone?",3
"a) What company did George Pataki praise for being a critical partner in economic development in New York IBM
b) What company did George Pataki praise for being a critical partner in economic development in New York Hitachi
c) What company did George Pataki praise for being a critical partner in economic development in New York Toshiba
d) What company did George Pataki praise for being a critical partner in economic development in New York Apple",3
"(a) Who told the club's official Web site: ""It was an unavoidable situation Sevilla
(b) Who told the club's official Web site: ""It was an unavoidable situation Xerez
(c) Who told the club's official Web site: ""It was an unavoidable situation Ramon Rodriguez
(d) Who told the club's official Web site: ""It was an unavoidable situation Manolo
(e) Who told the club's official Web site: ""It was an unavoidable situation Coach Manolo Jimenez",3
"Solve:

(a) Can you show me your shirtless body (only boys)?
(b) How well guarded are National Guard armory’s? With all the riots and looting going on, could they become targets for people looking for weapons?
(c) How do I make group calls in WhatsApp?
(d) How is President Biden’s fiscal agenda crushing American seniors and families’ economic budgets?
(e) Why isn't there a lot of gold on Earth?",3
"Answer each question independently:

(a) What was Toodle's favorite game He loved to play fetch
(b) What was Toodle's favorite game Play dead
(c) What was Toodle's favorite game Fetch
(d) What was Toodle's favorite game Running
(e) What was toodles favourite gam Running after ducks
(f) What was toodles favourite gam Play dead
(g) What was toodles favourite gam Fetch
(h) Where did Toodles play fetch In the beach
(i) Where did Toodles play fetch At the park
(j) Where did Toodles play fetch The street",3
"(a) Who represents the GOP in 2021?
(b) What enables mountain goats to scale nearly vertical inclines?
(c) Could my WiFi toothbrush be hacked?",3
"Answer each question independently:

A. Who created the Danteum Dante
B. Who created the Danteum Politics
C. Who created the Danteum Terragni
D. What did Teragni translate the Comedy into Translation of Goethe's original 'erstarrte.' to frozen
E. What did Teragni translate the Comedy into Students
F. What did Teragni translate the Comedy into A stage design
G. What did Teragni translate the Comedy into Cocytus",3
"Work through the following:

a) Which of the 3 zones is near the equator Polar
b) Which of the 3 zones is near the equator Tropical
c) Which of the 3 zones is near the equator The tropical zone
d) Which of the 3 zones is near the equator Temperate
e) Which of the 3 zones is near the equator Temperature
f) Which of the 3 zones is near the equator Hot",3
"Respond separately to each question:

a. Do you believe in karma? Why or why not?
b. Which 10 things should we stay away from in life?
c. How do I talk like a native English speaker?
d. At AIIMS, what is the fee structure per annum?",3
"Do the following:

A. If ""Solo: A Star Wars Story"" was made on a budget of $275 million, then gained $393 million worldwide, why is it considered a box-office failure? If somebody gave me $118 million, I wouldn't sneer and say, ""That's not enough.""
B. Why do Glocks and Hi-Points look like they are rudimentary, and made for people who just want to say they own a gun?
C. Would Hillary Clinton have made a better President than Donald J Trump?
D. What is your opinion on Facebook trying to buy major shares of Reliance Jio?
E. What happens if a person who orders pizza takes the pizza and refuses to pay?",3
"A. What are the ways the ""all you can eat"" rules are abused at buffets?
B. How can I get clients for my content writing business?
C. How hard is it to trace a VPN?",3
"Answer all questions individually:

a. What are the best wireless earphones under Rs 5,000?
b. Is reservation keeping casteism alive in India?
c. How come the AAP got massive public support in Punjab politics so quickly?",3
"a) What did Dick learn about Wesley Boone Wesley had been with the prisoners
b) What did Dick learn about Wesley Boone Wesley had been struck on the head
c) What did Dick learn about Wesley Boone Wesley was dead",3
"Questions:

a) Who is a better Prime Minister of India, Narendra Modi or Manmohan Singh?
b) What is the approximate price of CBD and HEMP products?
c) What are some ways I can attach both large and small vertical cardboard tubes to flat horizontal platforms when constructing a homemade multi-level cat tree?",3
